CEP origem,CEP inicial,CEP final,Peso mínimo gramas,Peso máximo gramas,Volume máximo,Prazo dias,Valor centavos,Ad Valorem
80045080,37580000,37639999,28000,28999,10000000,10,34210,0
80045080,28460000,28469999,500,999,10000000,22,3540,0
80045080,28740000,28749999,0,299,10000000,22,3540,0
80045080,64000000,64099999,7000,7999,10000000,10,9870,0
80045080,28735000,28739999,6000,6999,10000000,22,7640,0
80045080,27660000,27699999,23000,23999,10000000,22,27860,0
80045080,73000000,73699999,29000,29999,10000000,11,24830,0
80045080,37580000,37639999,8000,8999,10000000,10,9890,0
80045080,26600000,26649999,15000,15999,10000000,22,17700,0
80045080,39400000,39409999,23000,23999,10000000,10,27860,0
80045080,23970000,23999999,27000,27999,10000000,22,32940,0
80045080,38400000,39399999,300,499,10000000,10,3540,0
80045080,25950001,25999999,15000,15999,10000000,21,17700,0
80045080,35438000,35438999,500,999,10000000,11,3540,0
80045080,32000000,32371999,9000,9999,10000000,9,6150,0
80045080,25780000,25799999,2000,2999,10000000,22,4700,0
80045080,1000000,3999999,2000,2999,10000000,8,3260,0
80045080,35500000,35504999,6000,6999,10000000,10,7640,0
80045080,23800001,23859999,12000,12999,10000000,21,13890,0
80045080,65505000,65735000,2000,2999,10000000,16,11130,0
80045080,25600001,25779999,18000,18999,10000000,21,13170,0
80045080,25850000,25869999,22000,22999,10000000,22,26590,0
80045080,88495000,88499999,7000,7999,10000000,10,4950,0
80045080,83000000,87999999,16000,16999,10000000,8,8800,0
80045080,13350000,13380000,27000,27999,10000000,10,29500,0
80045080,69800000,69800000,6000,6999,10000000,33,15710,0
80045080,12200001,12249999,20000,20999,10000000,9,12840,0
80045080,28900001,28929999,13000,13999,10000000,22,15160,0
80045080,28800000,28819999,500,999,10000000,22,3540,0
80045080,15380000,16299999,27000,27999,10000000,10,29500,0
80045080,28200000,28229999,13000,13999,10000000,22,15160,0
80045080,27570000,27579999,300,499,10000000,22,3540,0
80045080,70000000,72799999,5000,5999,10000000,11,5390,0
80045080,34500000,34799999,20000,20999,10000000,9,14730,0
80045080,13600001,13609999,7000,7999,10000000,10,8580,0
80045080,13857000,13919999,23000,23999,10000000,10,24940,0
80045080,73000000,73699999,9000,9999,10000000,11,7030,0
80045080,28500000,28539999,28000,28999,10000000,22,34210,0
80045080,13610000,13800000,12000,12999,10000000,10,12400,0
80045080,30000000,31999999,5000,5999,10000000,9,4730,0
80045080,16310000,18000000,20000,20999,10000000,10,21520,0
80045080,37563000,37581999,3000,3999,10000000,10,5850,0
80045080,18120000,18130000,11000,11999,10000000,10,11260,0
80045080,26650000,26699999,12000,12999,10000000,22,13890,0
80045080,69900000,69924999,0,299,10000000,19,4470,0
80045080,67000000,68899999,26000,26999,10000000,15,58970,0
80045080,25880000,25899999,9000,9999,10000000,22,10080,0
80045080,28650000,28659999,4000,4999,10000000,22,6130,0
80045080,50000000,52999999,17000,17999,10000000,9,21490,0
80045080,69400000,69899999,19000,19999,10000000,54,42450,0
80045080,37640000,37662999,16000,16999,10000000,10,10120,0
80045080,33800000,33999999,2000,2999,10000000,10,3640,0
80045080,28380000,28389999,24000,24999,10000000,22,29130,0
80045080,9000000,9999999,8000,8999,10000000,8,5190,0
80045080,32400000,32698999,20000,20999,10000000,10,14730,0
80045080,37580000,37639999,29000,29999,10000000,10,35480,0
80045080,65000000,65109999,13000,13999,10000000,9,16090,0
80045080,36000000,36500999,0,299,10000000,10,3540,0
80045080,33300000,33399999,14000,14999,10000000,10,10050,0
80045080,69000000,69099999,29000,29999,10000000,24,37690,0
80045080,28950000,28959999,26000,26999,10000000,22,31670,0
80045080,32000000,32371999,29000,29999,10000000,9,21750,0
80045080,28230000,28249999,24000,24999,10000000,22,29130,0
80045080,27000001,27174999,15000,15999,10000000,22,17700,0
80045080,27197000,27199999,6000,6999,10000000,22,7640,0
80045080,28740000,28749999,300,499,10000000,22,3540,0
80045080,69900000,69924999,18000,18999,10000000,19,22840,0
80045080,29100000,29999999,20000,20999,10000000,12,30840,0
80045080,18000001,18109999,23000,23999,10000000,9,14880,0
80045080,28735000,28739999,7000,7999,10000000,22,9600,0
80045080,15370000,15379999,500,999,10000000,10,2940,0
80045080,28460000,28469999,1000,1999,10000000,22,4100,0
80045080,28637000,28639999,6000,6999,10000000,22,7640,0
80045080,6300000,6999999,15000,15999,10000000,8,9440,0
80045080,28960000,28969999,19000,19999,10000000,22,22780,0
80045080,25600001,25779999,300,499,10000000,21,2780,0
80045080,15370000,15379999,20000,20999,10000000,10,21520,0
80045080,64000000,64099999,8000,8999,10000000,10,10360,0
80045080,25850000,25869999,3000,3999,10000000,22,5850,0
80045080,27660000,27699999,24000,24999,10000000,22,29130,0
80045080,29000000,29099999,0,299,10000000,9,3100,0
80045080,37580000,37639999,9000,9999,10000000,10,10080,0
80045080,28360000,28374999,10000,10999,10000000,22,11350,0
80045080,26600000,26649999,16000,16999,10000000,22,18970,0
80045080,23970000,23999999,28000,28999,10000000,22,34210,0
80045080,32372000,32399999,16000,16999,10000000,9,11610,0
80045080,25000001,25499999,25000,25999,10000000,21,18630,0
80045080,28180000,28199999,3000,3999,10000000,22,5850,0
80045080,39400000,39409999,24000,24999,10000000,10,29130,0
80045080,28390000,28399999,12000,12999,10000000,22,13890,0
80045080,38400000,39399999,500,999,10000000,10,3540,0
80045080,76800000,76834999,8000,8999,10000000,16,10360,0
80045080,25950001,25999999,16000,16999,10000000,21,18970,0
80045080,20000001,23799999,12000,12999,10000000,21,8490,0
80045080,35438000,35438999,1000,1999,10000000,11,4100,0
80045080,24800001,24889999,25000,25999,10000000,22,18630,0
80045080,32000000,32371999,10000,10999,10000000,9,6930,0
80045080,28660000,28679999,7000,7999,10000000,22,9600,0
80045080,25780000,25799999,3000,3999,10000000,22,5850,0
80045080,6000001,6299999,9000,9999,10000000,8,5360,0
80045080,35160000,35364999,8000,8999,10000000,10,9890,0
80045080,27200001,27299999,300,499,10000000,22,3540,0
80045080,40000000,42599999,26000,26999,10000000,9,27390,0
80045080,1000000,3999999,3000,3999,10000000,8,3470,0
80045080,28860000,28889999,9000,9999,10000000,22,10080,0
80045080,12250000,12999999,8000,8999,10000000,10,8810,0
80045080,59140000,59999999,6000,6999,10000000,11,15710,0
80045080,23800001,23859999,13000,13999,10000000,21,15160,0
80045080,35500000,35504999,7000,7999,10000000,10,9600,0
80045080,69400000,69899999,500,999,10000000,54,9430,0
80045080,79000000,79124999,14000,14999,10000000,9,10050,0
80045080,72800000,72999999,23000,23999,10000000,10,44370,0
80045080,25600001,25779999,19000,19999,10000000,21,13950,0
80045080,65505000,65735000,3000,3999,10000000,16,12430,0
80045080,25850000,25869999,23000,23999,10000000,22,27860,0
80045080,49099000,49999999,300,499,10000000,10,9430,0
80045080,83000000,87999999,17000,17999,10000000,8,9390,0
80045080,88495000,88499999,8000,8999,10000000,10,5190,0
80045080,13350000,13380000,28000,28999,10000000,10,30640,0
80045080,28375000,28379999,12000,12999,10000000,22,13890,0
80045080,28500000,28539999,9000,9999,10000000,22,10080,0
80045080,27998000,27999999,16000,16999,10000000,22,18970,0
80045080,12200001,12249999,21000,21999,10000000,9,13520,0
80045080,13830000,13834999,3000,3999,10000000,10,3470,0
80045080,35365000,35437999,13000,13999,10000000,10,15160,0
80045080,11400000,12200000,17000,17999,10000000,8,10800,0
80045080,24800001,24889999,6000,6999,10000000,22,5220,0
80045080,28970000,28989999,4000,4999,10000000,22,6130,0
80045080,69800000,69800000,7000,7999,10000000,33,18020,0
80045080,13920000,13929999,27000,27999,10000000,10,17600,0
80045080,32699000,32899999,22000,22999,10000000,9,16290,0
80045080,28900001,28929999,14000,14999,10000000,22,16430,0
80045080,28800000,28819999,1000,1999,10000000,22,4100,0
80045080,38550000,39399999,2000,2999,10000000,11,4700,0
80045080,28735000,28739999,26000,26999,10000000,22,31670,0
80045080,57100000,57999999,12000,12999,10000000,10,25930,0
80045080,15380000,16299999,28000,28999,10000000,10,30640,0
80045080,18590000,19864999,21000,21999,10000000,10,22660,0
80045080,13390000,13400000,16000,16999,10000000,10,16960,0
80045080,88000000,88099999,0,299,10000000,8,2480,0
80045080,28200000,28229999,14000,14999,10000000,22,16430,0
80045080,27570000,27579999,500,999,10000000,22,3540,0
80045080,33800000,33999999,3000,3999,10000000,10,3890,0
80045080,28000001,28179999,4000,4999,10000000,22,6130,0
80045080,70000000,72799999,6000,6999,10000000,11,5950,0
80045080,26400001,26499999,9000,9999,10000000,22,10080,0
80045080,34500000,34799999,21000,21999,10000000,9,15510,0
80045080,13600001,13609999,8000,8999,10000000,10,8810,0
80045080,37800000,37999999,12000,12999,10000000,10,13890,0
80045080,13857000,13919999,24000,24999,10000000,10,26080,0
80045080,69925000,69999999,22000,22999,10000000,22,49530,0
80045080,28600001,28636999,10000,10999,10000000,22,11350,0
80045080,42600000,44934999,13000,13999,10000000,10,24170,0
80045080,28250000,28299999,500,999,10000000,22,3540,0
80045080,90000000,91999999,25000,25999,10000000,8,16240,0
80045080,69300000,69339999,1000,1999,10000000,26,5980,0
80045080,73000000,73699999,10000,10999,10000000,11,7920,0
80045080,28500000,28539999,29000,29999,10000000,22,35480,0
80045080,16310000,18000000,1000,1999,10000000,10,3480,0
80045080,13610000,13800000,13000,13999,10000000,10,13540,0
80045080,24890000,24899999,9000,9999,10000000,22,6150,0
80045080,96000000,96199999,19000,19999,10000000,9,20380,0
80045080,26400001,26499999,28000,28999,10000000,22,34210,0
80045080,37000000,37548999,2000,2999,10000000,10,4700,0
80045080,15380000,16299999,8000,8999,10000000,10,8810,0
80045080,23890001,23899999,1000,1999,10000000,22,4100,0
80045080,28400000,28429999,1000,1999,10000000,22,4100,0
80045080,30000000,31999999,6000,6999,10000000,9,5220,0
80045080,76835000,76999999,14000,14999,10000000,17,30650,0
80045080,37640000,37799999,25000,25999,10000000,10,30400,0
80045080,16310000,18000000,21000,21999,10000000,10,22660,0
80045080,53000000,56999999,20000,20999,10000000,10,44810,0
80045080,96000000,96199999,500,999,10000000,9,2940,0
80045080,37563000,37581999,4000,4999,10000000,10,6130,0
80045080,77000000,77249999,15000,15999,10000000,11,15290,0
80045080,18120000,18130000,12000,12999,10000000,10,12400,0
80045080,26650000,26699999,13000,13999,10000000,22,15160,0
80045080,25845000,25849999,7000,7999,10000000,22,9600,0
80045080,33200000,33299999,27000,27999,10000000,9,20190,0
80045080,13440000,13450000,19000,19999,10000000,10,20380,0
80045080,28820000,28859999,4000,4999,10000000,22,6130,0
80045080,96400000,97999999,7000,7999,10000000,12,8580,0
80045080,69900000,69924999,300,499,10000000,19,4470,0
80045080,67000000,68899999,27000,27999,10000000,15,61330,0
80045080,6000001,6299999,28000,28999,10000000,8,18280,0
80045080,38550000,39399999,21000,21999,10000000,11,25320,0
80045080,28230000,28249999,5000,5999,10000000,22,7160,0
80045080,25880000,25899999,10000,10999,10000000,22,11350,0
80045080,76800000,76834999,27000,27999,10000000,16,34990,0
80045080,28650000,28659999,5000,5999,10000000,22,7160,0
80045080,50000000,52999999,18000,18999,10000000,9,22840,0
80045080,46140000,48999999,15000,15999,10000000,11,28210,0
80045080,58100000,58999999,0,299,10000000,10,9430,0
80045080,27500001,27569999,13000,13999,10000000,22,15160,0
80045080,69400000,69899999,20000,20999,10000000,54,44810,0
80045080,83000000,87999999,0,299,10000000,8,2430,0
80045080,37640000,37662999,17000,17999,10000000,10,10800,0
80045080,28380000,28389999,25000,25999,10000000,22,30400,0
80045080,25900001,25939999,5000,5999,10000000,22,4730,0
80045080,35160000,35364999,27000,27999,10000000,10,32940,0
80045080,9000000,9999999,9000,9999,10000000,8,5360,0
80045080,26900000,26949999,13000,13999,10000000,22,15160,0
80045080,32400000,32698999,21000,21999,10000000,10,15510,0
80045080,37640000,37662999,0,299,10000000,10,2480,0
80045080,59000000,59139999,19000,19999,10000000,9,24190,0
80045080,65000000,65109999,14000,14999,10000000,9,17440,0
80045080,88300000,88494999,2000,2999,10000000,9,2980,0
80045080,28545000,28549999,1000,1999,10000000,22,4100,0
80045080,36000000,36500999,300,499,10000000,10,3540,0
80045080,33300000,33399999,15000,15999,10000000,10,10830,0
80045080,69100000,69299999,0,299,10000000,54,9430,0
80045080,28950000,28959999,27000,27999,10000000,22,32940,0
80045080,28550000,28569999,22000,22999,10000000,22,26590,0
80045080,32372000,32399999,0,299,10000000,9,2780,0
80045080,28230000,28249999,25000,25999,10000000,22,30400,0
80045080,27000001,27174999,16000,16999,10000000,22,18970,0
80045080,37549000,37579999,5000,5999,10000000,11,7160,0
80045080,27580000,27599999,7000,7999,10000000,22,9600,0
80045080,69340000,69399999,23000,23999,10000000,29,65360,0
80045080,66000000,66999999,6000,6999,10000000,14,9060,0
80045080,4000000,6000000,5000,5999,10000000,8,4120,0
80045080,27197000,27199999,7000,7999,10000000,22,9600,0
80045080,28740000,28749999,500,999,10000000,22,3540,0
80045080,28750000,28769999,22000,22999,10000000,22,26590,0
80045080,69900000,69924999,19000,19999,10000000,19,24190,0
80045080,27600000,27659999,10000,10999,10000000,22,11350,0
80045080,29100000,29999999,21000,21999,10000000,12,32470,0
80045080,60000000,61599999,1000,1999,10000000,9,4890,0
80045080,18000001,18109999,24000,24999,10000000,9,15560,0
80045080,18130001,18146999,300,499,10000000,9,2940,0
80045080,28735000,28739999,8000,8999,10000000,22,9890,0
80045080,27197000,27199999,26000,26999,10000000,22,31670,0
80045080,15370000,15379999,1000,1999,10000000,10,3480,0
80045080,28990001,28999999,14000,14999,10000000,22,16430,0
80045080,28460000,28469999,2000,2999,10000000,22,4700,0
80045080,24890000,24899999,28000,28999,10000000,22,20970,0
80045080,32900000,32999999,9000,9999,10000000,10,6150,0
80045080,28637000,28639999,7000,7999,10000000,22,9600,0
80045080,6300000,6999999,16000,16999,10000000,8,10120,0
80045080,28960000,28969999,20000,20999,10000000,22,24050,0
80045080,25600001,25779999,500,999,10000000,21,2780,0
80045080,89000000,89999999,29000,29999,10000000,8,16470,0
80045080,57000001,57099999,9000,9999,10000000,9,10690,0
80045080,13510000,13600000,20000,20999,10000000,10,21520,0
80045080,15370000,15379999,21000,21999,10000000,10,22660,0
80045080,64000000,64099999,9000,9999,10000000,10,10690,0
80045080,25850000,25869999,4000,4999,10000000,22,6130,0
80045080,27660000,27699999,25000,25999,10000000,22,30400,0
80045080,29000000,29099999,300,499,10000000,9,3100,0
80045080,28750000,28769999,3000,3999,10000000,22,5850,0
80045080,37580000,37639999,10000,10999,10000000,10,11350,0
80045080,79125000,79999999,17000,17999,10000000,11,20240,0
80045080,28360000,28374999,11000,11999,10000000,22,12620,0
80045080,26600000,26649999,17000,17999,10000000,22,20240,0
80045080,61600000,63999999,19000,19999,10000000,10,42450,0
